prefLabel (English),Translation prefLabel (Spanish),Identifier,altLabel (English),Translation altLabel (Spanish),Description/Scope Note (English),Description/Scope Note (Spanish),translationNote,historyNote (English),historyNote (Spanish),"Comments (Ernesto, postdoc)"
Konkan LGBTQ+ people,Personas LGBTQ+ konkani ,homoit0002303,LGBTQ+ Konkani,,"LGBTQ+ people who are from or descended from those native to the Konkan region of the Indian subcontinent, and who speak any of the dialects of the Konkani language.","Personas LGBTQ+ que pertenecen a o son descendientes de las personas nativas de la región Konkan del subcontinente indio, y que hablan cualquiera de los dialectos de la lengua konkani.",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Konkan queer people,Personas queer konkani ,homoit0002307,Queer Konkani,,"Queer people who are from or descended from those native to the Konkan region of the Indian subcontinent, and who speak any of the dialects of the Konkani language.","Personas queer que pertenecen a o son descendientes de las personas nativas de la región Konkan del subcontinente indio, y que hablan cualquiera de los dialectos de la lengua konkani.",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Konkan transgender people,Personas transgénero konkani ,homoit0002308,Transgender Konkani,,"Transgender people who are from or descended from those native to the Konkan region of the Indian subcontinent, and who speak any of the dialects of the Konkani language.","Personas transgénero que pertenecen a o son descendientes de las personas nativas de la región Konkan del subcontinente indio, y que hablan cualquiera de los dialectos de la lengua konkani.",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Kothis,Kothis,homoit0000694,,,"In South Asia, this term is used to describe people who are assigned male at birth who exhibit feminine characteristics. Please note that not all kothis identify as hijra or transgender.","En el sur de Asia, este término se utiliza para describir a las personas asignadas al sexo masculino al nacer que presentan características femeninas. No todas las kothis se autoidentifican como hijra o transgénero.",,,"Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).","zamoramorales.s@northeastern.edu, we should erase this historyNote ES, right?"
Kumaoni asexual people,Personas asexuales kumaoni,homoit0002318,"Kumain asexual people||
Kumaiye asexual people",,Asexual people who live mostly in Kumaon region in the Indian Himalayas. They might also speak the Kumaoni language as their first language.,"Personas asexuales que viven principalmente en la región de Kumaon, en el Himalaya indio. También pueden hablar la lengua kumaoni como su primera lengua. ",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Kumaoni bisexual people,Personas bisexuales kumaoni,homoit0002314,"Kumain bisexual people||
Kumaiye bisexual people",,Bisexual people who live mostly in Kumaon region in the Indian Himalayas. They might also speak the Kumaoni language as their first language.,"Personas bisexuales que viven principalmente en la región de Kumaon, en el Himalaya indio. También pueden hablar la lengua kumaoni como su primera lengua. ",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Kumaoni gay men,Hombres gay kumaoni,homoit0002313,"Kumain gay men||
Kumaiye gay men",,Gay men who live mostly in Kumaon region in the Indian Himalayas. They might also speak the Kumaoni language as their first language.,"Hombres gay que viven principalmente en la región de Kumaon, en el Himalaya indio. También pueden hablar la lengua kumaoni como su primera lengua. ",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Kumaoni intersex people,Personas intersexuales kumaoni,homoit0002317,"Kumain intersex people||
Kumaiye intersex people",Personas intersex kumaoni,Intersex people who live mostly in Kumaon region in the Indian Himalayas. They might also speak the Kumaoni language as their first language.,"Personas intersexuales que viven principalmente en la región de Kumaon, en el Himalaya indio. También pueden hablar la lengua kumaoni como su primera lengua. ",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Kumaoni lesbians,Lesbianas kumaoni,homoit0002312,"Kumain lesbians||
Kumaiye lesbians",,Lesbians who live mostly in Kumaon region in the Indian Himalayas. They might also speak the Kumaoni language as their first language.,"Lesbianas que viven principalmente en la región de Kumaon, en el Himalaya indio. También pueden hablar la lengua kumaoni como su primera lengua. ",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Kumaoni LGBTQ+ people,Personas LGBTQ+ kumaoni,homoit0002311,"Kumain LGBTQ+ people||
Kumaiye LGBTQ+ people||
LGBTQ+ Kumaoni people",,LGBTQ+ people who live mostly in Kumaon region in the Indian Himalayas. They might also speak the Kumaoni language as their first language.,"Personas LGBTQ+  que viven principalmente en la región de Kumaon, en el Himalaya indio. También pueden hablar la lengua kumaoni como su primera lengua. ",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Kumaoni queer people,Personas queer kumaoni,homoit0002316,"Kumain queer people||
Kumaiye queer people",,Queer people who live mostly in Kumaon region in the Indian Himalayas. They might also speak the Kumaoni language as their first language.,"Personas queer que viven principalmente en la región de Kumaon, en el Himalaya indio. También pueden hablar la lengua kumaoni como su primera lengua. ",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Kumaoni transgender people,Personas transgénero kumaoni,homoit0002315,"Kumain transgender people||
Kumaiye transgender people",,Transgender people who live mostly in Kumaon region in the Indian Himalayas. They might also speak the Kumaoni language as their first language.,"Personas transgénero que viven principalmente en la región de Kumaon, en el Himalaya indio. También pueden hablar la lengua kumaoni como su primera lengua. ",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Kutchi asexual people,Personas asexuales kutchi,homoit0002326,Asexual Kutchi people,,Asexual people who are from or are descended from those native to the  the Kutch district of the Indian state of Gujarat and the Sindh region of Pakistan.,Personas asexuales que pertenecen a o son descendientes de las personas nativas del distrito Konkan del estado indio de Guyarat y la región Sind de Pakistán.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Kutchi bisexual people,Personas bisexuales kutchi,homoit0002322,Bisexual Kutchi people,,Bisexual people who are from or are descended from those native to the  the Kutch district of the Indian state of Gujarat and the Sindh region of Pakistan.,Personas bisexuales que pertenecen a o son descendientes de las personas nativas del distrito Konkan del estado indio de Guyarat y la región Sind de Pakistán.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Kutchi gay men,Hombres gay kutchi,homoit0002321,Gay Kutchi men,,Gay men who are from or are descended from those native to the  the Kutch district of the Indian state of Gujarat and the Sindh region of Pakistan.,Hombres gay que pertenecen a o son descendientes de las personas nativas del distrito Konkan del estado indio de Guyarat y la región Sind de Pakistán.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Kutchi intersex people,Personas intersexuales kutchi,homoit0002324,Intersex Kutchi people,Personas intersex kutchi,Intersex people who are from or are descended from those native to the  the Kutch district of the Indian state of Gujarat and the Sindh region of Pakistan.,Personas intersexuales que pertenecen a o son descendientes de las personas nativas del distrito Konkan del estado indio de Guyarat y la región Sind de Pakistán.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Kutchi lesbians,Lesbianas kutchi,homoit0002320,Lesbian Kutchi people,,Lesbians who are from or are descended from those native to the  the Kutch district of the Indian state of Gujarat and the Sindh region of Pakistan.,Lesbianas que pertenecen a o son descendientes de las personas nativas del distrito Konkan del estado indio de Guyarat y la región Sind de Pakistán.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Kutchi LGBTQ+ people,Personas LGBTQ+ kutchi,homoit0002319,LGBTQ+ Kutchi people,,LGBTQ+ people who are from or are descended from those native to the Kutch district of the Indian state of Gujarat and the Sindh region of Pakistan.,Personas LGBTQ+ que pertenecen a o son descendientes de las personas nativas del distrito Konkan del estado indio de Guyarat y la región Sind de Pakistán.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Kutchi queer people,Personas queer kutchi,homoit0002323,Queer Kutchi people,,Queer people who are from or are descended from those native to the  the Kutch district of the Indian state of Gujarat and the Sindh region of Pakistan.,Personas queer que pertenecen a o son descendientes de las personas nativas del distrito Konkan del estado indio de Guyarat y la región Sind de Pakistán.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Kutchi transgender people,Personas transgénero kutchi,homoit0002325,Transgender Kutchi people,,Transgender people who are from or are descended from those native to the  the Kutch district of the Indian state of Gujarat and the Sindh region of Pakistan.,Personas transgénero que pertenecen a o son descendientes de las personas nativas del distrito Konkan del estado indio de Guyarat y la región Sind de Pakistán.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Labiaplasty,Labioplastia,homoit0001845,Labioplasty,,Surgical construction of the labia.,Construcción quirúrgica de la labia,,,,
Labrys,Labrys,homoit0000696,,,Symbol used to represent lesbianism and feminism.,Símbolo utilizado para representar el lesbianismo y el feminismo.,,,,
Lakin-on,Lakin-on,homoit0000697,,,Cebuano term for women who are attracted to women and take on male personas and cultural work.,"Término cebuano para mujeres que se sienten atraídas por mujeres, y asumen el personaje y el trabajo cultural masculinos.",,,,
Lambda,Lambda,homoit0000698,,,Symbol for lesbian and gay rights.,Símbolo de los derechos de lesbianas y hombres gay.,,,,
Large breasts,Senos grandes,homoit0001630,"Breast hypertrophy||
Gigantomastia||
Macromastia",,Breasts considered large within a given cultural context. Note that large breasts have various health issues associated with them and may carry stigmatized medical associations (such as terms like gigantomastia and macromastia). These terms have more specific medical meanings but should not be used outside of those specific contexts.,"Senos considerados grandes dentro de un contexto cultural determinado. Tenga en cuenta que los senos grandes implican varios problemas de salud asociados y pueden conllevar asociaciones médicas estigmatizadas (tales como términos como gigantomastia y macromastia). Estos términos tienen significados médicos más específicos, pero no deben utilizarse fuera de esos contextos específicos.",,,,
Latent homosexuality,Homosexualidad latente,homoit0000699,,,Term coined by Sigmund Freud to describe erotic attraction towards members of the same sex or gender that is not (and may never be) consciously experienced or expressed openly.,Término acuñado por Sigmund Freud para describir la atracción erótica hacia miembros del mismo sexo o género que no se experimenta (y puede que nunca se experimente) conscientemente ni se expresa abiertamente.,,,,
Lateral biphobia,Bifobia lateral,homoit0003094,,,"The phenomenon in which bisexual people displace violence or oppression onto other bisexual people, often by acting on internalized biphobic beliefs (i.e., negative perceptions of and intolerance toward bisexual people and bisexuality) adopted as a result of being raised or socialized within a biphobic environment or culture.","El fenómeno a través del cual las personas bisexuales desplazan la violencia u opresión hacia otras personas bisexuales, a menudo, actuando sobre la base de creencias bifóbicas internalizadas (es decir, percepciones negativas e intolerancia hacia las personas bisexuales y la bisexualidad), adoptadas como resultado de haber sido criadas o socializadas dentro de un entorno o una cultura bifóbica.",,,,
Lateral homophobia,Homofobia lateral,homoit0003093,,,"This term is often used to describe lateral homophobia carried out by LGBTQ+ people in general. Lateral homophobia refers to the phenomenon in which gay men displace violence or oppression onto other gay men, often by acting on internalized homophobic beliefs (i.e., negative perceptions of and intolerance toward gay men and homosexuality) adopted as a result of being raised or socialized within a homophobic environment or culture.","Este término se utiliza a menudo para describir la homofobia lateral llevada a cabo por personas LGBTQ+ en general. La homofobia lateral se refiere al fenómeno a través del cual los hombres gay desplazan la violencia u opresión hacia otros hombres gay, a menudo, actuando sobre la base de creencias homofóbicas internalizadas (es decir, percepciones negativas e intolerancia hacia los hombres gay y la homosexualidad), adoptadas como resultado de haber sido criados o socializados dentro de un ambiente o una cultura homofóbica.",,,,
Lateral intersexphobia,Intersexfobia lateral,homoit0003097,Lateral interphobia,,"The phenomenon in which intersex people displace violence or oppression onto other intersex people, often by acting on internalized intersexphobic beliefs (i.e., negative perceptions of and intolerance toward intersex people and intersex variations) adopted as a result of being raised or socialized within a intersexphobic environment or culture.","El fenómeno a través del cual las personas intersex desplazan la violencia u opresión hacia otras personas intersex, a menudo, actuando sobre la base de creencias intersexfóbicas internalizadas (es decir, percepciones negativas e intolerancia hacia las personas intersex y variaciones intersex), adoptadas como resultado de haber sido criadas o socializadas dentro de un entorno o una cultura intersexfóbica.",,,,
Lateral lesbophobia,Lesbofobia lateral,homoit0003092,,,"The phenomenon in which lesbians displace violence or oppression onto other lesbians, often by acting on internalized lesbophobic beliefs (i.e., negative perceptions of and intolerance toward lesbians and lesbianism) adopted as a result of being raised or socialized within a lesbophobic environment or culture.","El fenómeno a través del cual las lesbianas desplazan la violencia o la opresión sobre otras lesbianas, a menudo, actuando sobre la base de creencias lesbofóbicas internalizadas (es decir, percepciones negativas e intolerancia hacia las lesbianas y el lesbianismo), adoptadas como resultado de haber sido criadas o socializadas dentro de un entorno o una cultura lesbofóbica.",,,,
Lateral oppression,Opresión lateral,homoit0003091,Lateral violence,,"The phenomenon in which someone in a marginalized group displaces violence or oppression onto other members of their own group, often by acting on internalized oppressive beliefs (i.e., negative perceptions of and intolerance toward any marginalized identities they hold) adopted as a result of being raised or socialized within an oppressive environment or culture.","El fenómeno a través del cual una persona de un grupo marginado desplaza la violencia u opresión hacia otros miembros de su propio grupo, a menudo, actuando sobre la base de creencias opresivas internalizadas (es decir, percepciones negativas e intolerancia hacia cualquier identidad marginada que tengan), adoptadas como resultado de haber sido criadas o socializadas dentro de un entorno o una cultura opresiva.",,,,
Lateral queerphobia,Queerfobia lateral,homoit0003096,,,"The phenomenon in which queer people displace violence or oppression onto other queer people, often by acting on internalized queerphobic beliefs (i.e., negative perceptions of and intolerance toward queer people and queer identity) adopted as a result of being raised or socialized within a queerphobic environment or culture.","El fenómeno a través del cual las personas queer desplazan la violencia u opresión hacia otras personas queer, a menudo, actuando sobre la base de creencias queerfóbicas internalizadas (es decir, percepciones negativas e intolerancia hacia las personas queer y la identidad queer), adoptadas como resultado de haber sido criadas o socializadas dentro de un entorno o una cultura queerfóbica.",,,,
Lateral transphobia,Transfobia lateral,homoit0003095,,,"The phenomenon in which transgender people displace violence or oppression onto other transgender people, often by acting on internalized transphobic beliefs (i.e., negative perceptions of and intolerance toward transgender people and trans identities) adopted as a result of being raised or socialized within transphobic environment or culture.","El fenómeno a través del cual las personas transgénero desplazan la violencia u opresión hacia otras personas transgénero, a menudo, actuando sobre la base de creencias transfóbicas internalizadas (es decir, percepciones negativas e intolerancia hacia las personas transgénero y las identidades trans), adoptadas como resultado de haber sido criadas o socializadas en un entorno o una cultura transfóbica.",,,,
Latex gloves,Guantes de latex,homoit0000700,,,"Protective coverings for the hands made from latex, a thin-plastic like material; often used as a barrier to protect against STIs while engaging in safer sex practices.","Cubiertas protectoras de látex, un material fino parecido al plástico, para las manos; a menudo se utilizan como barrera para protegerse de las ITS mientras se practican relaciones sexuales seguras.",,,,
Latino/a/x asexual people,Personas asexuales Latinx,homoit0002897,"Asexual Latinas||
Asexual Latine people||
Asexual Latinos||
Asexual Latinx people||
Latina asexual people||
Latine asexual people||
Latino asexual people||
Latinx asexual people",,"Latin American people who are asexual; only use to describe individuals who self-identify as Latino, Latina, or Latinx. Do not conflate with Chicano/a/x or Hispanic.","Personas latinoamericanas que son asexuales; utilícese únicamente para describir a personas que se autoidentifican como latinos, latinas o latinxs. No debe confundirse con chicano/a/x o hispano/a/x.",,"Term changed from “Latinx” to “Latino/a/x” to acknowledge the variation in use among the affected community. To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians). Terms for white LGBTQ+ people also follow this format to avoid treating whiteness as the standard or norm and instead emphasize its specificity and significance.","El término cambió de “Latinx” a “Latino/a/x” para reconocer la variación en el uso entre la comunidad afectada. Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras). Los términos para las personas blancas LGBTQ+ también siguen este formato para evitar tratar la blancura como el estándar o norma y, en cambio, enfatizan su especificidad y significado.",
Latino/a/x bisexual people,Personas bisexuales Latinx,homoit0000155,"Bisexual Latinas||
Bisexual Latine people||
Bisexual Latinos||
Bisexual Latinx people||
Latina bisexual people||
Latine bisexual people||
Latino bisexual people||
Latinx bisexual people",,"Latin American people who are bisexual; only use to describe individuals who self-identify as Latino, Latina, or Latinx. Do not conflate with Chicano/a/x or Hispanic.","Personas latinoamericanas que son bisexuales; utilícese únicamente para describir a personas que se autoidentifican como latinos, latinas o latinxs. No debe confundirse con chicano/a/x o hispano/a/x.",,"Term changed from “Latinx” to “Latino/a/x” to acknowledge the variation in use among the affected community. To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians). Terms for white LGBTQ+ people also follow this format to avoid treating whiteness as the standard or norm and instead emphasize its specificity and significance.","El término cambió de “Latinx” a “Latino/a/x” para reconocer la variación en el uso entre la comunidad afectada. Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras). Los términos para las personas blancas LGBTQ+ también siguen este formato para evitar tratar la blancura como el estándar o norma y, en cambio, enfatizan su especificidad y significado.",
Latino/a/x gay men,Hombres gay Latinx,homoit0000498,"Gay Latine||
Gay Latinos||
Gay Latinx||
Latine gay men||
Latino gay men||
Latinx gay men",,"Latin American men who are gay; only use to describe individuals who self-identify as Latino, Latina, or Latinx. Do not conflate with Chicano/a/x or Hispanic.","Hombres latinoamericanos que son gay; utilícese únicamente para describir a personas que se autoidentifican como latinos, latinas o latinxs. No debe confundirse con chicano/a/x o hispano/a/x.",,"Term changed from “Latinx” to “Latino/a/x” to acknowledge the variation in use among the affected community. To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians). Terms for white LGBTQ+ people also follow this format to avoid treating whiteness as the standard or norm and instead emphasize its specificity and significance.","El término cambió de “Latinx” a “Latino/a/x” para reconocer la variación en el uso entre la comunidad afectada. Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras). Los términos para las personas blancas LGBTQ+ también siguen este formato para evitar tratar la blancura como el estándar o norma y, en cambio, enfatizan su especificidad y significado.",
Latino/a/x intersex people,Personas intersexuales Latinx,homoit0002769,"Intersex Latinas||
Intersex Latine people||
Intersex Latinos||
Intersex Latinx people||
Latina intersex people||
Latine intersex people||
Latino intersex people||
Latinx intersex people",Personas intersex Latinx,"Latin American people who are intersex; only use to describe individuals who self-identify as Latino, Latina, or Latinx. Do not conflate with Chicano/a/x or Hispanic.","Personas latinoamericanas que son intersexuales; utilícese únicamente para describir a personas que se autoidentifican como latinos, latinas o latinxs. No debe confundirse con chicano/a/x o hispano/a/x.",,"Term changed from “Latinx” to “Latino/a/x” to acknowledge the variation in use among the affected community. To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians). Terms for white LGBTQ+ people also follow this format to avoid treating whiteness as the standard or norm and instead emphasize its specificity and significance.","El término cambió de “Latinx” a “Latino/a/x” para reconocer la variación en el uso entre la comunidad afectada. Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras). Los términos para las personas blancas LGBTQ+ también siguen este formato para evitar tratar la blancura como el estándar o norma y, en cambio, enfatizan su especificidad y significado.",
Latino/a/x lesbians,Lesbianas Latinx,homoit0000747,"Latina lesbians||
Latine lesbians||
Latino lesbians||
Latinx lesbians||
Lesbian Latinas||
Lesbian Latine||
Lesbian Latinos",,"Latin American people who are lesbians; only use to describe individuals who self-identify as Latino, Latina, or Latinx. Do not conflate with Chicano/a/x or Hispanic.","Personas latinoamericanas que son lesbianas; utilícese únicamente para describir a personas que se autoidentifican como latinos, latinas o latinxs. No debe confundirse con chicano/a/x o hispano/a/x.",,"Term changed from “Latinx” to “Latino/a/x” to acknowledge the variation in use among the affected community. To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians). Terms for white LGBTQ+ people also follow this format to avoid treating whiteness as the standard or norm and instead emphasize its specificity and significance.","El término cambió de “Latinx” a “Latino/a/x” para reconocer la variación en el uso entre la comunidad afectada. Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras). Los términos para las personas blancas LGBTQ+ también siguen este formato para evitar tratar la blancura como el estándar o norma y, en cambio, enfatizan su especificidad y significado.",
Latino/a/x LGBTQ+ people,Personas LGBTQ+ Latinx,homoit0000253,"LGBTQ+ Latinas||
LGBTQ+ Latine people||
LGBTQ+ Latinos||
LGBTQ+ Latinx people||
Latinas (LGBTQ)||
Latine people (LGBTQ)||
Latinos (LGBTQ)||
Latinx people (LGBTQ)",,"Latin American people who are LGBTQ+; only use to describe individuals who self-identify as Latino, Latina, or Latinx. Do not conflate with Chicano/a/x or Hispanic.","Personas latinoamericanas que son LGBTQ+; utilícese únicamente para describir a personas que se autoidentifican como latinos, latinas o latinxs. No debe confundirse con chicano/a/x o hispano/a/x.",,"Term changed from “Latinx” to “Latino/a/x” to acknowledge the variation in use among the affected community. To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians). Terms for white LGBTQ+ people also follow this format to avoid treating whiteness as the standard or norm and instead emphasize its specificity and significance.","El término cambió de “Latinx” a “Latino/a/x” para reconocer la variación en el uso entre la comunidad afectada. Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras). Los términos para las personas blancas LGBTQ+ también siguen este formato para evitar tratar la blancura como el estándar o norma y, en cambio, enfatizan su especificidad y significado.",
Latino/a/x queer people,Personas queer Latinx,homoit0001181,"Latina queer people||
Latine queer people||
Latino queer people||
Latinx queer people||
Queer Latinas||
Queer Latine people||
Queer Latinos||
Queer Latinx people",,"Latin American people who are queer; only use to describe individuals who self-identify as Latino, Latina, or Latinx. Do not conflate with Chicano/a/x or Hispanic.","Personas latinoamericanas que son queer; utilícese únicamente para describir a personas que se autoidentifican como latinos, latinas o latinxs. No debe confundirse con chicano/a/x o hispano/a/x.",,"Term changed from “Latinx” to “Latino/a/x” to acknowledge the variation in use among the affected community. To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians). Terms for white LGBTQ+ people also follow this format to avoid treating whiteness as the standard or norm and instead emphasize its specificity and significance.","El término cambió de “Latinx” a “Latino/a/x” para reconocer la variación en el uso entre la comunidad afectada. Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras). Los términos para las personas blancas LGBTQ+ también siguen este formato para evitar tratar la blancura como el estándar o norma y, en cambio, enfatizan su especificidad y significado.",
